Time,Class,Score,Distance (m),Speed (m/s),Latitude,Longitude
2024-09-29 14:46:56,Human face,0.8121383,,,19.376541666666668,72.822671875
2024-09-29 14:46:56,Man,0.41660777,,,19.376395833333333,72.8227109375
2024-09-29 14:46:57,Human face,0.790432,,,19.376541666666668,72.822671875
2024-09-29 14:46:57,Man,0.39897436,,,19.376395833333333,72.8226953125
2024-09-29 14:46:57,Human face,0.80491,,,19.37653125,72.822671875
2024-09-29 14:46:57,Man,0.38172424,,,19.376395833333333,72.822703125
2024-09-29 14:46:57,Human face,0.803055,,,19.37653125,72.8226640625
2024-09-29 14:46:57,Man,0.41335976,,,19.376395833333333,72.8226796875
2024-09-29 14:46:57,Human face,0.8062924,,,19.37653125,72.8226640625
2024-09-29 14:46:57,Man,0.40177915,,,19.376395833333333,72.822703125
2024-09-29 14:46:57,Human face,0.8026773,,,19.37653125,72.8226640625
2024-09-29 14:46:57,Man,0.4061876,,,19.37640625,72.8227109375
2024-09-29 14:46:57,Human face,0.783794,,,19.37653125,72.8226640625
2024-09-29 14:46:57,Man,0.40092108,,,19.37640625,72.8226875
2024-09-29 14:46:57,Human face,0.7988423,,,19.37653125,72.822671875
2024-09-29 14:46:57,Man,0.4117479,,,19.37640625,72.8226875
2024-09-29 14:46:57,Human face,0.8120791,,,19.37653125,72.8226796875
2024-09-29 14:46:57,Man,0.3925017,,,19.37640625,72.8227109375
2024-09-29 14:46:57,Human face,0.7923316,,,19.376520833333334,72.8226796875
2024-09-29 14:46:57,Man,0.3990615,,,19.376416666666668,72.8227109375
2024-09-29 14:46:57,Human face,0.8188541,,,19.376520833333334,72.8226875
2024-09-29 14:46:57,Man,0.4008481,,,19.376416666666668,72.82271874999999
2024-09-29 14:46:58,Human face,0.8019266,,,19.376520833333334,72.8226953125
2024-09-29 14:46:58,Man,0.3667515,,,19.376416666666668,72.8227265625
2024-09-29 14:46:58,Human face,0.7920967,,,19.376520833333334,72.8226953125
2024-09-29 14:46:58,Man,0.39326563,,,19.376416666666668,72.8227265625
2024-09-29 14:46:58,Human face,0.7833798,,,19.376520833333334,72.8226953125
2024-09-29 14:46:58,Man,0.40060893,,,19.376416666666668,72.82271874999999
2024-09-29 14:46:58,Human face,0.7853224,,,19.376520833333334,72.8226953125
2024-09-29 14:46:58,Man,0.39231068,,,19.376416666666668,72.8227109375
2024-09-29 14:46:58,Human face,0.7853973,,,19.376520833333334,72.822703125
2024-09-29 14:46:58,Man,0.391791,,,19.376416666666668,72.8227265625
2024-09-29 14:46:58,Human face,0.78824395,,,19.376520833333334,72.822703125
2024-09-29 14:46:58,Man,0.39864182,,,19.376416666666668,72.822703125
2024-09-29 14:46:58,Human face,0.7979206,,,19.376520833333334,72.822703125
2024-09-29 14:46:58,Man,0.38743758,,,19.376416666666668,72.82271874999999
2024-09-29 14:46:58,Human face,0.80424386,,,19.376520833333334,72.822703125
2024-09-29 14:46:58,Man,0.38519165,,,19.376416666666668,72.82271874999999
2024-09-29 14:46:58,Human face,0.7972211,,,19.376520833333334,72.8226953125
2024-09-29 14:46:58,Man,0.38049948,,,19.376416666666668,72.8227109375
2024-09-29 14:46:58,Human face,0.81141984,,,19.376520833333334,72.822703125
2024-09-29 14:46:58,Man,0.37411037,,,19.376416666666668,72.822734375
2024-09-29 14:46:59,Human face,0.793008,,,19.37653125,72.822703125
2024-09-29 14:46:59,Man,0.38100448,,,19.376416666666668,72.8227265625
2024-09-29 14:46:59,Human face,0.7985645,,,19.376520833333334,72.822703125
2024-09-29 14:46:59,Man,0.38095424,,,19.376427083333333,72.8227265625
2024-09-29 14:46:59,Human face,0.79132724,,,19.37653125,72.8226953125
2024-09-29 14:46:59,Man,0.38840902,,,19.376416666666668,72.8227265625
2024-09-29 14:46:59,Human face,0.80126977,,,19.376520833333334,72.822703125
2024-09-29 14:46:59,Man,0.38430792,,,19.376427083333333,72.8227265625
2024-09-29 14:46:59,Human face,0.8023212,,,19.376520833333334,72.8226953125
2024-09-29 14:46:59,Man,0.38093105,,,19.376416666666668,72.8227265625
2024-09-29 14:46:59,Human face,0.785871,,,19.376520833333334,72.8226953125
2024-09-29 14:46:59,Man,0.39931616,,,19.376416666666668,72.8227109375
2024-09-29 14:46:59,Human face,0.78390896,,,19.376520833333334,72.8226953125
2024-09-29 14:46:59,Man,0.38699594,,,19.376416666666668,72.82271874999999
2024-09-29 14:46:59,Human face,0.7852569,,,19.376520833333334,72.8226875
2024-09-29 14:46:59,Man,0.3782398,,,19.376416666666668,72.8227109375
2024-09-29 14:46:59,Human face,0.7813992,,,19.376520833333334,72.8226953125
2024-09-29 14:46:59,Man,0.38137388,,,19.376416666666668,72.8227265625
2024-09-29 14:46:59,Human face,0.776585,,,19.37653125,72.8226875
2024-09-29 14:46:59,Man,0.30713376,,,19.376427083333333,72.8227265625
2024-09-29 14:47:00,Human face,0.7822629,,,19.376520833333334,72.8226953125
2024-09-29 14:47:00,Human face,0.7866713,,,19.376520833333334,72.8226953125
2024-09-29 14:47:00,Man,0.354544,,,19.376427083333333,72.8227265625
2024-09-29 14:47:00,Human face,0.7970661,,,19.37653125,72.8226875
2024-09-29 14:47:00,Human face,0.8038328,,,19.376520833333334,72.822703125
2024-09-29 14:47:00,Human face,0.80846393,,,19.37653125,72.8226953125
2024-09-29 14:47:00,Man,0.30306786,,,19.376416666666668,72.82271874999999
2024-09-29 14:47:00,Human face,0.80565155,,,19.376520833333334,72.8226953125
2024-09-29 14:47:00,Human face,0.7764729,,,19.376510416666665,72.8226953125
2024-09-29 14:47:00,Man,0.34487608,,,19.376416666666668,72.8227109375
2024-09-29 14:47:00,Human face,0.78609294,,,19.376510416666665,72.8226953125
2024-09-29 14:47:00,Human face,0.78690934,,,19.376510416666665,72.8226953125
2024-09-29 14:47:00,Man,0.34393704,,,19.37640625,72.8227265625
2024-09-29 14:47:00,Human face,0.7856297,,,19.376520833333334,72.8226875
2024-09-29 14:47:01,Human face,0.7717969,,,19.376520833333334,72.8226796875
2024-09-29 14:47:01,Man,0.35064304,,,19.37640625,72.8227265625
2024-09-29 14:47:01,Human face,0.7262785,,,19.376604166666667,72.8226640625
2024-09-29 14:47:01,Man,0.37420282,,,19.376395833333333,72.822703125
2024-09-29 14:47:01,Human face,0.75442976,,,19.376541666666668,72.8226171875
2024-09-29 14:47:01,Man,0.3867405,,,19.376385416666665,72.8226875
2024-09-29 14:47:01,Human face,0.767862,,,19.376541666666668,72.8225390625
2024-09-29 14:47:01,Human face,0.78297365,,,19.37653125,72.82249999999999
2024-09-29 14:47:01,Man,0.34344473,,,19.376354166666665,72.8227109375
2024-09-29 14:47:01,Human face,0.7615552,,,19.376541666666668,72.8224609375
2024-09-29 14:47:01,Man,0.31350073,,,19.37634375,72.8226796875
2024-09-29 14:47:01,Human face,0.7391831,,,19.376541666666668,72.822453125
2024-09-29 14:47:01,Human face,0.7442303,,,19.376541666666668,72.82243749999999
2024-09-29 14:47:01,Human face,0.72427034,,,19.376510416666665,72.82242968749999
2024-09-29 14:47:01,Man,0.31418502,,,19.37634375,72.8226953125
